257, Lopunny            ,0.0065,3644,0.116,2875,0.115, 
258, Sirfetch'd         ,0.00621,12929,0.411,9893,0.397, 
259, Crustle            ,0.00618,3386,0.108,2577,0.103, 
260, Lickilicky         ,0.00605,2792,0.089,2178,0.087, 
261, Musharna           ,0.00583,1054,0.033,863,0.035, 
262, Raboot             ,0.00581,1799,0.057,1473,0.059, 
263, Froslass           ,0.00529,10880,0.346,9153,0.367, 
264, Leafeon            ,0.00519,6111,0.194,4461,0.179, 
265, Uxie               ,0.00487,7114,0.226,6283,0.252, 
266, Tauros             ,0.00471,5722,0.182,4314,0.173, 
267, Lilligant          ,0.00461,2825,0.09,2085,0.084, 
268, Rotom-Mow          ,0.0046,7930,0.252,6421,0.258, 
269, Bouffalant         ,0.00455,1968,0.063,1497,0.06, 
270, Butterfree         ,0.00439,6867,0.218,4901,0.197, 
271, Qwilfish           ,0.00433,2458,0.078,1907,0.077, 
272, Sawk               ,0.00416,2369,0.075,1764,0.071, 
273, Regigigas          ,0.0041,5474,0.174,4058,0.163, 
274, Braviary           ,0.00405,5135,0.163,3728,0.15, 
275, Scrafty            ,0.00389,8289,0.263,6314,0.253, 
276, Dubwool            ,0.00379,4846,0.154,3545,0.142, 
277, Marowak            ,0.00374,2061,0.065,1615,0.065, 
278, Togedemaru         ,0.00353,9989,0.317,7613,0.305, 
279, Hitmonlee          ,0.00332,8594,0.273,5925,0.238, 
280, Rhydon             ,0.00315,3210,0.102,2503,0.1, 
281, Tsareena           ,0.0031,8962,0.285,6876,0.276, 
282, Cradily            ,0.0031,8749,0.278,6472,0.26, 
283, Appletun           ,0.00308,3408,0.108,2533,0.102, 
284, Eldegoss           ,0.00301,3461,0.11,2735,0.11, 
285, Luxray             ,0.0029,4775,0.152,3524,0.141, 
286, Falinks            ,0.0029,2708,0.086,1913,0.077, 
287, Golduck            ,0.00285,1507,0.048,1176,0.047, 
288, Lickitung          ,0.00283,385,0.012,308,0.012, 
289, Absol              ,0.00283,6552,0.208,4784,0.192, 
290, Silvally-Ground    ,0.00282,2426,0.077,2011,0.081, 
291, Shiinotic          ,0.00266,2851,0.091,2204,0.088, 
292, Sigilyph           ,0.00264,9580,0.304,7341,0.295, 
293, Persian-Alola      ,0.00261,3572,0.113,2867,0.115, 
294, Doublade           ,0.00253,4035,0.128,3137,0.126, 
295, Turtonator         ,0.00251,5491,0.174,4112,0.165, 
296, Orbeetle           ,0.00246,4274,0.136,3550,0.142, 
297, Vileplume          ,0.00242,7068,0.225,5620,0.225, 
298, Articuno           ,0.00234,4631,0.147,3548,0.142, 
299, Silvally-Ghost     ,0.00227,1303,0.041,1028,0.041, 
300, Regice             ,0.00221,6060,0.192,4535,0.182, 
301, Miltank            ,0.00217,4290,0.136,3261,0.131, 
302, Comfey             ,0.00215,7142,0.227,5262,0.211, 
303, Electivire         ,0.00206,11999,0.381,8987,0.361, 
304, Unfezant           ,0.00198,1373,0.044,1031,0.041, 
305, Barbaracle         ,0.00191,5493,0.174,3796,0.152, 
306, Flapple            ,0.00188,1938,0.062,1383,0.055, 
307, Drifblim           ,0.00182,5204,0.165,3860,0.155, 
308, Palossand          ,0.00179,2615,0.083,2027,0.081, 
309, Magikarp           ,0.00165,511,0.016,376,0.015, 
310, Carracosta         ,0.00159,2261,0.072,1701,0.068, 
311, Exeggutor          ,0.00156,4415,0.14,2997,0.12, 
312, Kadabra            ,0.00155,327,0.01,213,0.009, 
313, Mesprit            ,0.00155,1601,0.051,1315,0.053, 
314, Trevenant          ,0.00141,5085,0.162,3854,0.155, 
315, Whiscash           ,0.00136,1342,0.043,1096,0.044, 
316, Drednaw            ,0.00136,1629,0.052,1198,0.048, 
317, Duraludon          ,0.00136,5668,0.18,4402,0.177, 
318, Poliwrath          ,0.00133,6627,0.211,5093,0.204, 
319, Hitmonchan         ,0.00132,3444,0.109,2602,0.104, 
320, Flareon            ,0.0013,5182,0.165,3923,0.157, 
321, Eiscue             ,0.00126,7521,0.239,5362,0.215, 
322, Metang             ,0.00121,123,0.004,104,0.004, 
323, Celebi             ,0.0012,5456,0.173,4107,0.165, 
324, Bellossom          ,0.0012,2106,0.067,1490,0.06, 
325, Corsola            ,0.0012,613,0.019,500,0.02, 
326, Magmortar          ,0.00118,3393,0.108,2679,0.107, 
327, Togetic            ,0.00118,629,0.02,469,0.019, 
328, Rotom-Frost        ,0.00114,2327,0.074,1820,0.073, 
329, Morpeko            ,0.00112,4597,0.146,3477,0.14, 
330, Silvally-Steel     ,0.00108,1249,0.04,971,0.039, 
331, Greedent           ,0.00108,1980,0.063,1489,0.06, 
332, Beartic            ,0.00107,2657,0.084,1946,0.078, 
333, Stunfisk-Galar     ,0.00103,1155,0.037,942,0.038, 
334, Garbodor           ,0.00102,1803,0.057,1418,0.057, 
335, Stunfisk           ,0.00102,2012,0.064,1738,0.07, 
336, Rapidash           ,0.001,2169,0.069,1686,0.068, 
337, Dunsparce          ,0.00097,2253,0.072,1787,0.072, 
338, Rapidash-Galar     ,0.00093,2372,0.075,1556,0.062, 
339, Rotom              ,0.00092,1243,0.039,992,0.04, 
340, Pincurchin         ,0.0009,4502,0.143,3592,0.144, 
341, Liepard            ,0.00081,4799,0.152,3815,0.153, 
342, Ferroseed          ,0.00075,1400,0.044,1174,0.047, 
343, Magneton           ,0.00072,2239,0.071,1786,0.072, 
344, Riolu              ,0.00068,1433,0.046,1019,0.041, 
345, Aron               ,0.00068,10329,0.328,7994,0.321, 
346, Coalossal          ,0.00068,4209,0.134,3344,0.134, 
347, Sandaconda         ,0.00066,7891,0.251,6620,0.266, 
348, Meowstic           ,0.00065,2945,0.094,2342,0.094, 
349, Vulpix-Alola       ,0.00061,116,0.004,83,0.003, 
350, Relicanth          ,0.00061,728,0.023,571,0.023, 
351, Wobbuffet          ,0.00057,2230,0.071,1692,0.068, 
352, Alcremie           ,0.00055,2228,0.071,1501,0.06, 
353, Wartortle          ,0.00053,288,0.009,211,0.008, 
354, Basculin           ,0.0005,1085,0.034,842,0.034, 
355, Hippopotas         ,0.0005,840,0.027,672,0.027, 
356, Tangela            ,0.00049,1135,0.036,877,0.035, 
357, Clefairy           ,0.00047,608,0.019,463,0.019, 
358, Treecko            ,0.00045,281,0.009,195,0.008, 
359, Munchlax           ,0.00045,405,0.013,318,0.013, 
360, Haunter            ,0.00045,1379,0.044,1079,0.043, 
361, Silvally-Electric  ,0.00044,1103,0.035,874,0.035, 
362, Thievul            ,0.00038,2303,0.073,1751,0.07, 
363, Gourgeist-Super    ,0.00036,2201,0.07,1699,0.068, 
364, Delibird           ,0.00036,991,0.031,776,0.031, 
365, Maractus           ,0.00035,1313,0.042,970,0.039, 
366, Klinklang          ,0.00035,1624,0.052,1173,0.047, 
367, Mawile             ,0.00034,2249,0.071,1649,0.066, 
368, Corvisquire        ,0.00033,14,0.0,13,0.001, 
369, Octillery          ,0.00033,1151,0.037,850,0.034, 
370, Silvally-Dark      ,0.00032,310,0.01,244,0.01, 
371, Wishiwashi         ,0.00031,2032,0.065,1592,0.064, 
372, Eevee              ,0.0003,483,0.015,370,0.015, 
373, Cryogonal          ,0.00027,4503,0.143,3515,0.141, 
374, Solrock            ,0.00026,346,0.011,291,0.012, 
375, Carbink            ,0.00024,1208,0.038,1056,0.042, 
376, Sudowoodo          ,0.00021,1425,0.045,1115,0.045, 
377, Stonjourner        ,0.0002,1187,0.038,880,0.035, 
378, Virizion           ,0.0002,2538,0.081,1858,0.075, 
379, Passimian          ,0.00019,1314,0.042,1040,0.042, 
380, Mr. Mime-Galar     ,0.00018,1316,0.042,937,0.038, 
381, Heatmor            ,0.00018,583,0.019,420,0.017, 
382, Beheeyem           ,0.00017,1699,0.054,1200,0.048, 
383, Raichu             ,0.00017,4669,0.148,3462,0.139, 
384, Rowlet             ,0.00017,164,0.005,114,0.005, 
385, Walrein            ,0.00014,2702,0.086,2065,0.083, 
386, Thwackey           ,0.00014,272,0.009,192,0.008, 
387, Rotom-Fan          ,0.00014,1590,0.051,1200,0.048, 
388, Oddish             ,0.00013,33,0.001,22,0.001, 
389, Silvally-Grass     ,0.00013,296,0.009,206,0.008, 
390, Gourgeist-Small    ,0.00012,582,0.018,487,0.02, 
391, Dragonair          ,0.00012,433,0.014,328,0.013, 
392, Oranguru           ,0.00011,536,0.017,443,0.018, 
393, Dedenne            ,0.00011,1859,0.059,1350,0.054, 
394, Persian            ,0.00011,1778,0.056,1423,0.057, 
395, Skuntank           ,0.00011,1619,0.051,1271,0.051, 
396, Magmar             ,0.0001,506,0.016,400,0.016,
